InvoiceDate,total_price
17/06/11,20800.72
17/07/11,17174.66
17/08/11,49392.22
17/10/11,47064.14
17/11/11,60329.72
17/12/10,43534.19
18/01/11,18680.799999999996
18/02/11,15928.4
18/03/11,16770.460000000003
18/04/11,32185.61
18/05/11,34337.29
18/07/11,28443.27
18/08/11,53225.67
18/09/11,15692.33
18/10/11,44637.840000000004
18/11/11,48031.8
19/01/11,25585.81
19/04/11,23837.65
19/05/11,34348.75
19/06/11,22360.01
19/07/11,49316.78
19/08/11,17248.54
19/09/11,46212.21
19/10/11,36003.43
19/12/10,7517.31
20/01/11,17995.91
20/02/11,9578.89
20/03/11,21980.64
20/04/11,28239.39
20/05/11,26256.52
20/06/11,33493.4
20/07/11,27305.41
20/09/11,109286.20999999999
20/10/11,60793.14
20/11/11,34902.01
20/12/10,24741.75
21/01/11,31978.44
21/02/11,23807.829999999998
21/03/11,16370.27
21/04/11,31198.6
21/06/11,22730.01
21/07/11,30957.07
21/08/11,14549.210000000001
21/09/11,42944.07
21/10/11,62961.26
21/11/11,48302.5
21/12/10,47097.94
22/02/11,32292.62
22/03/11,31312.35
22/05/11,24205.37
22/06/11,21794.94
22/07/11,20015.23
22/08/11,27978.41
22/09/11,57076.83
22/11/11,62307.32
22/12/10,6134.570000000001
23/01/11,10285.95
23/02/11,26792.76
23/03/11,24029.07
23/05/11,30739.55
23/06/11,24273.31
23/08/11,25756.3
23/09/11,39426.48
23/10/11,12302.41
23/11/11,78480.7
23/12/10,11796.31
24/01/11,25555.62
24/02/11,22655.83
24/03/11,36562.1
24/05/11,37028.909999999996
24/06/11,8619.88
24/07/11,26476.2
24/08/11,37074.9
24/10/11,38407.72
24/11/11,48080.28
25/01/11,27971.52
25/02/11,18029.84
25/03/11,30656.03
25/05/11,24152.28
25/07/11,26687.65
25/08/11,22458.88
25/09/11,31210.921000000002
25/10/11,40807.49
25/11/11,50442.72
26/01/11,19493.32
26/04/11,30585.54
26/05/11,33208.59
26/06/11,6175.17
26/07/11,21271.301
26/08/11,25550.23
26/09/11,28642.271
26/10/11,37842.08
27/01/11,21092.14
27/02/11,9491.05
27/03/11,8979.98
27/04/11,25590.56
27/05/11,28232.19
27/06/11,16823.86
27/07/11,25568.45
27/09/11,35752.16
27/10/11,47480.15
27/11/11,20571.5
28/01/11,18567.77
28/02/11,21753.68
28/03/11,19207.03
28/04/11,21241.9
28/06/11,34704.64
28/07/11,55706.88
28/08/11,10784.78
28/09/11,43383.04
28/10/11,39559.47
28/11/11,55442.02
29/03/11,70531.47
29/05/11,7208.3
29/06/11,21775.43
29/07/11,18094.21
29/09/11,43464.33
29/11/11,72219.2
30/01/11,6456.4400000000005
30/03/11,31489.25
30/06/11,43834.55
30/08/11,31640.9
30/09/11,43992.85
30/10/11,34545.28
30/11/11,59150.98
31/01/11,22364.65
31/03/11,31004.08
31/05/11,21967.96
31/07/11,33486.36
31/08/11,16118.0
31/10/11,48475.45
